Name,spikes/sec
Pilocarpine Control Run 1,42
Pilocarpine Control Run 2,21
Pilocarpine Control Run 3,23
Pilocarpine Control Run 4,10
Pilocarpine Control Run 5,27
Pilocarpine Run 1,52
Pilocarpine Run 2,24
Pilocarpine Run 3,44
Pilocarpine Run 4,39
Pilocarpine Run 5,53
Nicotine Control Run 1,6
Nicotine Control Run 2,11
Nicotine Control Run 3,9
Nicotine Control Run 4,13
Nicotine Control Run 5,11
Nicotine Run 1,8
Nicotine Run 2,21
Nicotine Run 3,12
Nicotine Run 4,32
Nicotine Run 5,16
Carbachol Control 1,50
Carbachol Control 2,49
Carbachol Control 3,126
Carbachol Control 4,152
Carbachol Run 1,53
Carbachol Run 2,65
Carbachol Run 3,176
Carbachol Run 4,80